exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,logPerm
376.20498762799997,376.4680000000001,4.0,2.0,1.0,2.0,4.0,27.0,56.0,5.0,0.0,0.7272727272727273,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,159.07755185907868,74.6,2.9233000000000016,98.53260000000004,16.458767254010443,9.972554170122413,8.703149566825617,8.703149566825617,7.183175850174492,16.458767254010443,9.972554170122413,8.703149566825617,8.703149566825617,7.183175850174492,-1.3300000000000003,19.006790236224266,5.383489331764302,1.997480532734116,3.7897352765850085,5.135798437050262
244.089957876,244.265,2.0,1.0,3.0,1.0,1.0,18.0,31.0,3.0,0.0,0.13333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,104.70461492391685,37.3,3.6808000000000023,67.88680000000002,9.929578781679682,5.670131192101321,2.948361326191152,2.948361326191152,1.795097562939458,9.929578781679682,5.670131192101321,2.948361326191152,2.948361326191152,1.795097562939458,-2.1599999999999997,12.300954293871056,5.001422908877978,2.399039500976548,3.417904144801535,5.3471075307174685
243.105942288,243.28099999999998,2.0,2.0,3.0,1.0,1.0,18.0,32.0,3.0,1.0,0.13333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,105.25027186873355,43.09,3.081500000000001,69.44540000000002,10.05971545536935,5.735199528946155,3.004712158880781,3.004712158880781,1.8167870085544024,10.05971545536935,5.735199528946155,3.004712158880781,3.004712158880781,1.8167870085544024,-2.1599999999999997,12.300954293871056,5.001422908877978,2.399039500976548,3.417904144801535,5.393627546352362
92.047344116,92.09399999999998,3.0,3.0,2.0,3.0,3.0,6.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8518365132108,60.69,-1.6681000000000001,20.178400000000003,3.3332046180625943,1.7071510027085628,0.42149820593270626,0.42149820593270626,0.05773502691896257,3.3332046180625943,1.7071510027085628,0.42149820593270626,0.42149820593270626,0.05773502691896257,-0.12,5.88,3.0849180327868857,2.1377319587628865,3.023219672131148,3.80666248977032
362.2093240599999,362.46600000000007,5.0,3.0,2.0,3.0,5.0,26.0,56.0,5.0,0.0,0.8095238095238095,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,154.0309111261361,94.83000000000001,1.7815999999999996,95.14240000000004,15.701742962868114,9.957047497308325,8.653266583245498,8.653266583245498,7.281019867932493,15.701742962868114,9.957047497308325,8.653266583245498,8.653266583245498,7.281019867932493,-1.0400000000000003,18.329215372052044,5.727622740292945,2.138229150219643,4.037801183718935,4.442651256490317
206.130679816,206.28499999999997,2.0,1.0,4.0,1.0,1.0,15.0,33.0,2.0,0.0,0.46153846153846156,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.94175377251301,37.3,3.073200000000001,61.03480000000004,9.526670282288125,5.32030090584347,2.4940956097181957,2.4940956097181957,1.556376775771452,9.526670282288125,5.32030090584347,2.4940956097181957,2.4940956097181957,1.556376775771452,-1.31,11.763046018991963,4.964460295417243,3.387630631562938,3.8931449942967644,5.393627546352362
357.0767856719999,357.7930000000002,5.0,1.0,4.0,1.0,4.0,25.0,41.0,6.0,0.0,0.15789473684210525,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.94809374556095,68.53,3.9273200000000026,95.74730000000005,14.501624146933118,7.998502484618467,4.416130011147616,4.416130011147616,3.072992847564243,13.745695200914664,7.62053801160924,4.164153695808131,4.164153695808131,2.9470046898945004,-2.7899999999999996,17.04669994118993,6.607181634243952,3.1046664994872564,4.505225711035902,6.536691597591305
6176.017854643989,6179.372999999968,191.0,116.0,149.0,116.0,191.0,419.0,801.0,191.0,0.0,1.0,38.0,0.0,38.0,38.0,38.0,0.0,38.0,38.0,0.0,0.0,153.0,153.0,2355.0065346295005,3038.930000000003,-83.66679999999921,1244.2358000000036,221.0010386777725,132.41566986317056,83.39713086118027,83.39713086118027,56.906979822564914,221.0010386777725,132.41566986317056,83.39713086118027,83.39713086118027,56.906979822564914,-7.640000000000006,344.58659654641207,135.51169533054153,61.90824772359405,111.44514053982249,1.7047480922384253
328.17869262799996,328.41200000000003,5.0,5.0,8.0,4.0,4.0,24.0,48.0,5.0,1.0,0.3157894736842105,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,141.6828346113938,95.58,2.1353999999999997,93.81220000000005,13.77484878610931,8.051626342052955,4.039354379873849,4.039354379873849,2.5188609594472697,13.77484878610931,8.051626342052955,4.039354379873849,4.039354379873849,2.5188609594472697,-2.37,17.97570231913846,8.47316831573415,5.077760022698596,6.346297972649702,4.941642422609304
291.18344366,291.391,4.0,2.0,5.0,2.0,4.0,21.0,46.0,4.0,0.0,0.5882352941176471,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,126.05909848968514,58.56,2.3334000000000006,82.96800000000003,13.108645159118929,7.576296003369678,3.563302834972512,3.563302834972512,2.4492721412328318,13.108645159118929,7.576296003369678,3.563302834972512,3.563302834972512,2.4492721412328318,-1.39,15.988744272516957,6.5824606305476765,4.5451541090236365,5.0116799859875005,5.66988092298052
