exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Melanin binding Fraction unbound (%)
271.145140004,271.792,4.0,3.0,6.0,2.0,3.0,18.0,40.0,5.0,1.0,0.46153846153846156,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.95019982369055,58.36,1.7622,78.22360000000003,11.795385228049732,6.030616735889546,2.780887787206888,2.780887787206888,1.603937549253247,10.978888647122005,6.030616735889546,2.780887787206888,2.780887787206888,1.603937549253247,-1.26,16.739999999999995,8.77617750102908,5.381334994883075,8.161845075957041,1.7
319.18959166,319.405,6.0,2.0,6.0,2.0,5.0,23.0,48.0,6.0,1.0,0.6470588235294118,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,136.39769110170238,74.69,0.6586000000000001,85.76950000000005,13.571986450871192,8.26490135313091,5.071191957594322,5.071191957594322,3.962295213400603,13.571986450871192,8.26490135313091,5.071191957594322,5.071191957594322,3.962295213400603,-1.5,16.36102308736985,6.94597905992426,3.543050119934352,4.94101407668732,38.7
293.11642672000005,293.32599999999996,5.0,2.0,1.0,1.0,5.0,22.0,37.0,5.0,0.0,0.17647058823529413,4.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,127.62930773846729,69.2,2.7668999999999997,85.87140000000002,12.16658921862812,7.104661814359979,3.8046517080638704,3.8046517080638704,2.7051925288305014,12.16658921862812,7.104661814359979,3.8046517080638704,3.8046517080638704,2.7051925288305014,-2.8199999999999994,12.885856095020573,4.874021431677943,2.1089793961565273,2.854815398756733,10.5
257.177964356,257.3769999999999,2.0,1.0,2.0,1.0,2.0,19.0,42.0,2.0,0.0,0.5294117647058824,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,115.29856846101634,23.47,3.1024000000000025,78.50180000000003,11.894062712070411,7.233505480939312,5.470921136996658,5.470921136996658,4.087941060284285,11.894062712070411,7.233505480939312,5.470921136996658,5.470921136996658,4.087941060284285,-1.28,12.73862175939831,4.378233642578125,1.8115415657271958,2.9354032814250224,44.8
282.089208928,282.295,4.0,0.0,3.0,0.0,4.0,21.0,35.0,4.0,0.0,0.11764705882352941,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.09347546915599,48.67,3.4772000000000025,81.02400000000004,11.75179531537246,6.466771633604285,3.382797835464376,3.382797835464376,2.2054505574035423,11.75179531537246,6.466771633604285,3.382797835464376,3.382797835464376,2.2054505574035423,-2.75,13.243141289437586,5.324074074074074,2.3576584022038567,3.3574983427806933,5.5
285.041737556,285.694,6.0,2.0,1.0,1.0,6.0,20.0,28.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,117.35320595172405,82.24,2.7731000000000003,75.4124,10.87244797581876,6.25407150696002,3.235317365280167,3.235317365280167,2.2840655712908497,10.116519029800305,5.876107033950793,3.000220262492428,3.000220262492428,2.111962547337982,-2.6,11.24544405997693,3.944809120045437,1.5492945719885887,2.218056514337889,1.0
281.152812228,281.359,4.0,2.0,4.0,2.0,4.0,21.0,40.0,4.0,0.0,0.23529411764705882,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,124.30662883588236,47.86,2.8404200000000013,86.59650000000005,12.081763283576526,7.126723914311977,3.5384617111416636,3.5384617111416636,2.4198982561864653,12.081763283576526,7.126723914311977,3.5384617111416636,3.5384617111416636,2.4198982561864653,-2.4899999999999993,13.491100893571794,5.871997445683246,3.1599926743092435,3.772367142214692,7.9
228.126263132,228.295,3.0,2.0,2.0,2.0,2.0,17.0,33.0,3.0,0.0,0.2857142857142857,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,100.47985398602756,37.05,2.5532000000000004,70.31440000000002,9.916319979971636,5.935340173436504,3.298781501590785,3.298781501590785,2.3595553890838152,9.916319979971636,5.935340173436504,3.298781501590785,3.298781501590785,2.3595553890838152,-1.7400000000000002,10.41626455988367,4.260150879894847,1.8261050126960856,2.610285801765055,0.2
260.127325752,260.29699999999997,6.0,4.0,4.0,2.0,6.0,19.0,35.0,6.0,0.0,0.23076923076923078,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.92949148368301,96.28,1.2489999999999999,73.20880000000001,10.882132168251946,5.714930211072259,2.7591864576530805,2.7591864576530805,1.7809800122286938,10.882132168251946,5.714930211072259,2.7591864576530805,2.7591864576530805,1.7809800122286938,-2.5000000000000004,12.944081632653061,5.429196168263224,2.8469387755102042,3.698734652720336,2.2
387.17135475199996,387.9110000000002,5.0,2.0,6.0,2.0,4.0,27.0,53.0,6.0,1.0,0.38095238095238093,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,165.20503679545305,53.60000000000001,3.783100000000002,109.73590000000006,16.715076361721643,9.550642271299525,5.546415535381896,5.546415535381896,3.8335651053563,15.959147415703189,9.172677798290298,5.233706526893597,5.233706526893597,3.5754105694269986,-2.2399999999999998,19.51961712481651,8.63230905271474,4.366374595509952,6.240717318965897,0.3
356.15584900799996,356.4910000000001,4.0,2.0,7.0,2.0,5.0,25.0,49.0,5.0,0.0,0.35,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,151.26562952013853,52.57000000000001,3.6607000000000025,107.80150000000005,15.527055873925864,9.5531342959631,5.864601983809479,5.864601983809479,4.321634226544787,14.710559292998138,8.736637715035373,4.618255826735052,4.618255826735052,3.1160147058039334,-1.9499999999999995,17.859638208612715,7.953105610285695,3.53858134872121,5.681583553383621,0.1
312.14086764,312.4420000000001,4.0,1.0,0.0,1.0,5.0,22.0,42.0,5.0,0.0,0.35294117647058826,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,134.63664509956524,30.870000000000005,3.4392200000000033,94.04770000000003,13.781564128585787,8.512390462588087,5.243518909862813,5.243518909862813,3.925868780043368,12.96506754765806,7.695893881660363,4.277593083573746,4.277593083573746,3.005959912178927,-1.8499999999999999,13.788296582061772,5.409294431379946,2.401272703146137,3.3902252690709953,0.8
233.141578848,233.3109999999999,3.0,0.0,2.0,0.0,3.0,17.0,36.0,3.0,0.0,0.5714285714285714,3.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,102.32620185682852,21.700000000000003,2.3122999999999996,66.64400000000003,10.100208990681649,6.525155833622057,3.4780405688812417,3.4780405688812417,2.583007692384871,10.100208990681649,6.525155833622057,3.4780405688812417,3.4780405688812417,2.583007692384871,-1.22,10.90416347281674,4.963055921217834,2.5479969905269995,3.1834101817464906,37.6
237.057197592,237.284,5.0,3.0,2.0,2.0,4.0,16.0,27.0,6.0,2.0,0.2,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,96.07742396471386,79.45,2.1271999999999998,61.24390000000002,9.438735563493083,5.529873000448158,3.5464149147836004,3.5464149147836004,2.4479365047402837,8.622238982565356,4.713376419520432,2.3172893271879094,2.3172893271879094,1.4100020029909324,-1.6599999999999997,10.844513937877473,4.070238064132969,1.8434062253001617,2.758734588560588,71.2
292.17869262799996,292.37899999999996,5.0,3.0,5.0,3.0,4.0,21.0,45.0,5.0,1.0,0.5625,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,125.24401855889657,70.59,1.6990999999999998,82.65020000000003,12.901538377932381,7.326296003369678,3.3084305903130966,3.3084305903130966,2.1959862312031637,12.901538377932381,7.326296003369678,3.3084305903130966,3.3084305903130966,2.1959862312031637,-1.5899999999999999,15.792362451661564,6.451508617684691,4.719683636293361,4.851645830975939,8.7
272.025563116,272.285,5.0,0.0,2.0,0.0,4.0,19.0,27.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,111.70471802581287,70.3,2.1356,69.01540000000001,10.462719087300103,6.339062075075169,3.985233785667574,3.985233785667574,3.026838099818219,9.646222506372377,5.522565494147443,2.771603216884013,2.771603216884013,1.9046329786367193,-2.47,11.610874380280343,4.326037318335419,1.8193381241733042,2.6436355719788103,1.8
343.090996256,343.88300000000004,3.0,0.0,0.0,0.0,4.0,23.0,41.0,5.0,0.0,0.2777777777777778,4.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,145.50785378339597,18.84,4.130300000000004,97.28400000000003,14.57015808599272,8.990020774624888,5.672989073241995,5.672989073241995,4.1240138672036455,12.997732559046538,7.795559720687935,4.296848611921894,4.296848611921894,2.9538724304536377,-1.4899999999999993,15.062085502532627,6.191257321306204,2.986179767459917,4.054489006160659,9.5
248.061948624,248.307,4.0,4.0,2.0,2.0,4.0,17.0,29.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.79367710137302,86.18,1.6838,67.16060000000002,9.814744144215576,6.444829550673052,4.166337772206111,4.166337772206111,2.690984029470106,8.99824756328785,4.96166630307866,2.3808018385437597,2.3808018385437597,1.4300430040979333,-2.01,11.47466814585883,4.101809822106994,2.236161413591126,2.7686415591824707,37.5
